#cV2017  1  2  0  0  0.00000000    8640 U+u   IGb08 FIT DLR*
## 1930  86400.00000000    10.00000000 57755 0.0000000000000
+    1   L47  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
%c M  cc GPS ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%c cc cc ccc ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%f  0.0000000  0.000000000  0.00000000000  0.000000000000000
%f  0.0000000  0.000000000  0.00000000000  0.000000000000000
%i    0    0    0    0      0      0      0      0         0
%i    0    0    0    0      0      0      0      0         0
/* NOTE: CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
/* CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
/* CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
/* CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
*  2017 01 02 01 18 00.00000000                             
PL47  1939.8743373 -5839.7118785  2935.9770716 999999.999999
VL47  9865.9418642-31494.8523669-68887.9987488      0.000000
*  2017 01 02 01 18 10.00000000                             
PL47  1949.5958009 -5870.8475095  2866.9053581 999999.999999
VL47  9576.9568037-30775.6883959-69253.9770078      0.000000
*  2017 01 02 01 18 20.00000000                             
PL47  1959.0282008 -5901.2618278  2797.4720280 999999.999999
VL47  9287.8214315-30052.2420704-69611.2241746      0.000000
*  2017 01 02 01 18 30.00000000                             
PL47  1968.1714079 -5930.9505965  2727.6858353 999999.999999
VL47  8998.5783862-29324.6045246-69959.6946908      0.000000
*  2017 01 02 01 18 40.00000000                             
PL47  1977.0253359 -5959.9096703  2657.5555790 999999.999999
VL47  8709.2702048-28592.8674991-70299.3441368      0.000000
*  2017 01 02 01 18 50.00000000                             
PL47  1985.5899407 -5988.1349958  2587.0901018 999999.999999
VL47  8419.9393138-27857.1233212-70630.1292473      0.000000
*  2017 01 02 01 19 00.00000000                             
PL47  1993.8652210 -6015.6226122  2516.2982893 999999.999999
VL47  8130.6280165-27117.4648737-70952.0079200      0.000000
*  2017 01 02 01 19 10.00000000                             
PL47  2001.8512174 -6042.3686519  2445.1890685 999999.999999
VL47  7841.3784764-26373.9855555-71264.9392013      0.000000
*  2017 01 02 01 19 20.00000000                             
PL47  2009.5480126 -6068.3693410  2373.7714067 999999.999999
VL47  7552.2327085-25626.7792581-71568.8832338      0.000000
*  2017 01 02 01 19 30.00000000                             
PL47  2016.9557313 -6093.6209996  2302.0543107 999999.999999
VL47  7263.2325931-24875.9403959-71863.8011887      0.000000
*  2017 01 02 01 19 40.00000000                             
PL47  2024.0745402 -6118.1200426  2230.0468256 999999.999999
VL47  6974.4199033-24121.5639950-72149.6552515      0.000000
